AXWindow |  | (830,37 359x777)
 AXButton |  | (830,224 15x29)
 AXButton |  | (830,272 15x52)
 AXButton |  | (830,334 15x52)
 AXButton |  | (1174,304 15x81)
 AXGroup |  | (852,113 316x686)
  AXButton | Tasks | (864,162 65x35)
  AXHeading | U3-002 | (985,171 50x16)
  AXStaticText | U3-002 · Hosting parity / many boundaries / uniform alignment | (864,-458 291x25)
  AXStaticText | Many boundaries — fill and shader mixed | (864,-420 291x12)
  AXStaticText | fill | (898,-314 10x10)
  AXStaticText | ink-smoke | (967,-314 43x10)
  AXStaticText | fill | (1068,-314 10x10)
  AXStaticText | loop | (894,-215 18x10)
  AXStaticText | fill | (983,-215 10x10)
  AXStaticText | aurora | (1060,-215 26x10)
  AXStaticText | fill | (898,-117 10x10)
  AXStaticText | ink-smoke | (967,-117 43x10)
  AXStaticText | fill | (1068,-117 10x10)
  AXStaticText | loop | (894,-18 18x10)
  AXStaticText | fill | (983,-18 10x10)
  AXStaticText | aurora | (1060,-18 26x10)
  AXStaticText | Multi-uniform shader — intensity observable | (864,5 291x12)
  AXSlider |  | (864,204 291x24)
  AXStaticText | intensity 0.80 | (864,246 291x12)
  AXStaticText | Glass styles — variant and press response (iOS 26) | (864,271 291x12)
  AXStaticText | Variant | (864,296 291x13)
  AXTabGroup |  | (864,316 291x24)
  AXStaticText | Press response | (864,355 291x13)
  AXTabGroup |  | (864,375 291x24)
  AXStaticText | The glass tile sits over a moving shader so variant differences are visible. In interactive mode, press the tile inside this scroller — its own press response and scrolling must coexist. | (864,583 291x42)
  AXStaticText | Scroll to verify boundaries render smoothly. The shader tile uses loop, which depends on time and intensity — garbled output would indicate a uniform-alignment mismatch. | (864,638 291x42)
  AXStaticText | GPU resume is exercisable on shader-catalog — no new screen needed. | (864,693 291x28)
  AXGroup | Tab Bar | (852,734 316x65)
 AXToolbar |  | (830,37 359x52)
  AXButton | Home | (1056,37 45x52)
  AXButton | Save Screen | (1101,37 43x52)
  AXButton | Rotate | (1144,37 41x52)
 AXButton |  | (848,55 16x16)
 AXButton |  | (894,55 16x16)
  AXGroup |  | (895,56 14x14)
   AXGroup |  | (895,56 14x14)
 AXButton |  | (871,55 16x16)
 AXStaticText |  | (922,37 126x52)
 AXStaticText |  | (922,37 126x52)
